id,eng,afr,xho,ssw,nbl,tsn,nso,ven,tso,sot,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info
dsac_multilingual_engineering_and_construction_terminology_274,plaster,pleister,udaka lokutyabeka,ludzaka lwekuhuca / ludzaka lwekuplastela,idaka lokusinda,taka / semari,takathitelo / taka / poleistera,musuko wa u hulunga / musuko wa u pḽasiṱela,ridaka ro phama,,,walls and ceilings,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_275,plasterboard,pleisterbord,iplastabhodi,ibhodi yeludzaka,ibhodi ledaka,bototaka / botosemari,pototaka,bodo ya u hulunga / bodo ya pḽasiṱara,pulasitarabodo,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_276,plinth,plint,iplinti,sisekelo sesiyilo / iplinthi,ubunzinzo besika / ubuhlalo besika,polinthe,pholinthe,bulokopfaredzi,pilinthi,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_277,plumbing fixture,loodgietershegstuk,isikhuphi nesifunximanzi,sisetjentiswa semaphayiphi,isisetjenziswa sobuplamara,serephetisametsi,didirišwapompi,zwa vhupḽambara,xitirhisiwavupulambi,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_278,plum stone,uitspaarklip / spaarklip,ilitye lokuhombisa,ematje ekugcwalisa,ikhonkhridi erhatjhiweko,letlapagolo,bokgaboswika,matomboadzwa,ribyexipulamu,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_279,plywood,laaghout,iplayiwudi / iplayibhodi,ibhodimabekelo yekwakha,ibhodi yokwakha nokukhanda,boalogong / papetlagong,kotallaga,bulanngaṱhanganywa,bodomhandzi ya tileyara,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_280,pointing,voegstryking / voegwerk,udaka lokwakha,ludzakasigcwalisi,idaka lokwakha,segokanyatena,go takela,musuko / daka,ridakandzemaswitina,,,cement,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_281,poling board,stutplank,ibhodi esisithintelikudilika,ibhodi yekuvimba / ibhodi yekuparaga,ibhodi esivimbelimrhiriko,bototshegetsi,potothekgi,bodothikhi,bodoseketelamatlhelo,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_282,portal frame,portaalraam,isakhelo sesakhiwo / ifreyimu yesakhiwo,luhlakasakhiwo,ihlaka lesakhiwo / itlhatlha lesakhiwo,foreimekago,foreimimoago,muhanga,rimbaxiphothali,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_283,portico,portiek,iveranda yomnyango / isithimbanja / iphothikho,livulandane lemnyango / iphothikho,umthunzi womnyango,mathuditseno / photiko,phothiko,guḓavhudzheno / pothiko,xivhurandana,,,entryway,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_284,Portland cement,Portlandsement,isamente emelana namanzi,samende we-Portland,isamende ye- Portland,semente sa Portland,samente sa Portland,semennde ya Portland,semende ya Portland,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_285,post-stressed concrete / post-tensioned concrete,nagespanne beton / naspanbeton,ikonkrithi elandeliswe ngeentsimbi,kukhonkhwa kwakhokholo kamuva,ikhonkhridi eneensimbi eziqinako ingathelwa,konkereitethatafatswamorago,khonkhoritikgwahlišwamorago,khonkhrithindungelamurahu,khonkhele-endzhaku-ko-vambiwa / khonkhireti-endzhaku-ko-vambiwa,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_286,prefabricated house,opslaanhuis / voorafvervaardigde huis,iphrifebhu,indlu leyakhiwe ngetincenye letihlanganiswako / indlu leyakhiwe ngetincenye letikhacekwako,indlu engumakhelwafuthi,motlhatlhana / motlaagana,mokutwana / mohlahlana / mokhukhu,nnḓukwewapo,yindlumatalulamisiwile / phurifebe,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_287,pre-stressed concrete / pre-tensioned concrete,voorgespanne beton / voorspanbeton,ikonkrithi eqaliswe ngeentsimbi,kukhonkhwa kwakhonkholo kwasekucaleni,ikhonkhridi eneensimbi eziqinako ingakathelwa,konkoreitethatafatswapele,khonkhoritikgwahlišwapele,khonkhrithindugelaphanḓa,khonkhele-ku-nga-si-vambiwa / khonkhireti-ku-nga-si-vambiwa,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_288,primer,grondverf / onderlaag / grondlaag,ipeyinti yokuqala / isandlalelipeyinti,pendesisekelo / pende wekucala,ipendesendlaleli / ipendemleyo,setshaswapele,phoraema,penndethangeli,pendeandlalelo,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_289,profilograph,profilograaf,iphrofilografu / isilinganiseliburhabaxa / isimeti,iphrofilografu,iphrofilografu,selekanyakgwaso ya boalo / semetakgwaso ya boalo / selekanyagwata,selekolakgwakgwa / phorofilokerafo,phrofiḽografu,phurofilogirafu,,,instrument,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_290,progressive collapse,progressiewe instorting / progressiewe ineenstorting,uwohlozosakhiwo / udilizosakhiwo ngokuwohloza,kudzilita ngekushiyashiyana,igirikobuthelelano / ibhurukobuthelelano,phutlhamisotatelano / phomotatelano,phušollotatelano,vhupwashiphirela,mbindzimukonandzelelano,,,demolition,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_291,pugging,kleibrei / kleibewerking,ukufakwa kwesithintelingxolo,kufakwa kwesivimbelimsindvo,ukufakwa kwesivimbelitjhada,pitielo,sefokotšamodumo,vhulangamuungo,mpfalampfumawulo,,,insulation,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_292,pulley,katrol,isincedisikonyusa / isincedisisonyusi / iphuli,sidvonsi / sisitikudvonsa,ikatroli / iphuli,leotwanatlhofo,senolofatšaphagamišo / phuli,phuḽi,phuli,katerole,,e.g. construction,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_293,pulverised fuel ash / fly ash,verpoeierde brandstofas / vliegas / poeierbrandstofas,umlotha wokwakha,umlotsamalahle,umlotha wedafu yamalahle,moloratswaki,molorabešetšwathume,miora,nkuma wa malahla,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_294,purlin,kaplat,ipherelayini,libalelo lelikhulu / umshayelo lomkhulu / lutfungo lolukhulu,ibalelo elikhulu / iperilayini,lebalelo / perelaene,phelini / pherelaene,mbalelo,rimbalelo,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_295,putlog / putlock,korteling / kortling,isixhasisikafula / isixhasisikefela,sisimisikufulela selubondza / siparagosikefula selubondza,isiqabelelosikhafula,setshegetsakefole,sethekgasekhafola,tshikhwaṱhisatshikhafula,xinanekwanaxikhafula,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_296,pyramid hip roof,piramiedtentdak / piramiedskilddak,uphahla olubuphiramidi,luphahlaphiramidi,irhayisi eyiphiramidi / irhayisi emdlhodlhwana,thulelotlhoa / thulelotlhotlho / thulelophiramiti,thulelontotomaphiramiti / tlhakantotomaphiramiti,ṱhangamuṱumbe ya phiramidi,lwanguntlhadlukoxiphiramidi,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_297,quarry,klipgroef,ikwari,inkwari,igwari,legabo / kwari,moletekgwara / khwari,mulondoni / khwarini,khwari,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_298,quarry tile,kleiteël,ithayili yekwari,lithayilinkwari,ithayili legwari,thaeletsopa / thaeleseleiti / thaelekwari,thaelekhwari,thaiḽi ya vumba,thayili ya khwari,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_299,queen closer,vrousluiter / halfsluitsteen,isitena esisikwe embindini ngokobude,sitini lesiphungulwe emhlubulweni / sitini lesisikwe emhlubulweni,isitina esiquntwe phakathi ngobude,setenakabi,setenakgetlolwagare,tshidinatshiṱoredzi,xitinahafuvuanami,,,brick,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_300,queen post,hangstyl,ipali esisixhasi kwikapu / ipali esisisekeli sekapu,insikakabha lencane,isika encani,pilarathoko,sethekgakapa,ndulakadzi,phuphuhosikati,,,roof,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_301,quoin,buitehoek,isihombisikona yesakhiwo,umhlobisomakhona / ikhoyini,ikhoyoni,setenakhutlo / khoene,khutlolebotontle / khwaene,tshiologwane / nyologwane / khoini,yihlahandle,,,wall,,,,,,,,,,,,,,,,,,
