id,eng,afr,zul,xho,ssw,nbl,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info
dsac_natural_science_and_technology_term_list_nguni_languages_572,deci,desi,okwe-shumi,idesimali,kwelishumi,idesi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_573,deciduous,bladwisselend,wohlokayo,omagqabi avuthulukayo ebusika,-hhohlokako,-thintithekako,adjective,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_574,decode,dekodeer,-ambula imfihlo,ukuguqula,enta kuvakale / vakalisa,pepenenisa umtlolo-fihlo / tjhatjhalazisa umtlolo-fihlo,verb,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_575,decompose,ontbind,-bolisa / -bola,ukubola,bolisa / vundzisa,vundisa,verb,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_576,decomposition,ontbinding,ukubolisa / ukubola,ukubola,kubolisa / kuvundzisa,ukuvunda,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_577,deflate,afblaas / lug uitlaat,-bohlisa,ukuhlisa umoya,mpontjisa,bohla,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_578,degradable,afbreekbaar,-cozululekayo,ezihlelekileyo,-ntjintjekako,-onako ngokunganangozi,adjective,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_579,degree Celsius,graad Celsius,izingakushisa,iqondo lobushushu nokubanda,°C,i-digri celsius,symbol °C,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_580,dehydration,ontwatering / dehidrasie,ukuncishelwa amanzi,ukomisa,komisa,ukomisa,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_581,deliquescent,vervloeiend,-ngancibilika,eba ngamanzi yakudibana nomoya,-ncibilikako,-ncibilikako,adjective,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_582,delivery tube,afvoerpypie,ipayipi / ithumbu,umbhobho wokuhambisa,litfumbu lelidlulisako,ithumbusikhambisi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_583,density,digtheid,isisindomthamo,ubunzima-mthamo,sisindvomtsamo / idensithi,idensithi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_584,dentate leaf,getande blaar,iqabunga elihlabayo / icembe elihlabayo,igqabi elinamazinyo,licembe lelihlabako,ikari elinamazinyo,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_585,dentition,gebit,uhlelomazinyo,ukuma kwamazinyo,luhlelomatinyo,ihlelomazinyo,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_586,deposit,afsetting,ukunqwabelana,intlenge,sitaki / kutakelana,inzika,noun,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_587,depth,diepte,ukujula,ubunzulu,kujula / kushona,ukudepha / ukutjhinga,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_588,desert,woestyn,ugwadule,intlango,lugwadvule,irhalawumba / idezethi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_589,design,ontwerp,umqopho / umdwebo,ukuyila / ukuzoba iplani / umzobo weplani / into eyiliweyo,luhlakasimo / umdvwebo,umtlamo / umkhakhanyo,noun,,noun,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_590,design,ontwerp,-qopha / -hlela / -klama / -sika,yila / zoba,dvweba / hlela,tlama / khakhanya,verb,,verb,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_591,designer,ontwerper,umqophi / umdwebi / umsiki,umyili / umzobi weplani,umhleli / umdvwebi,umtlami / umkhakhanyi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_592,design process,ontwerpproses,ukuqopha / ukudweba / ukuhlela / ukusika,isenzo sokuyila,inchubo yeluhlakasimo,ikambisomtlamo,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_593,develop,ontwikkel,-khulisa / -thuthukisa,ukukhula / ukukhulisa,tfutfukisa / khulisa,khula / khulisa,verb,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_594,development,ontwikkeling,ukukhulisa / ukuthuthukisa,ukukhula,kutfutfuka / kukhula,ukukhula,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_595,device,toestel,isisebenziso / insizakusebenza,isixhobo,sisetjentiswa,isisetjenziswa,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_596,devil’s thorn,dubbeltjie,unkunzana / umankunzana,inkunzana,inkunzane,usotokolo,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_597,dew,dou,amazolo / umbethe,umbethe,umbetse / ematolo,umbethe,noun,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_598,diabetes,diabetes / suikersiekte,isifo sikashukela,isifo seswekile,sifo sashukela,isifo setjhukela / itjhukela,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_599,diabetic,diabeet,onesifo sikashukela,onesifo seswekile,lonesifo sashukela,umuntu onetjhukela,noun,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_600,diagonal,diagonaal / hoeklyn,umudwa otshekile,umgca oxwesileyo,idayagonali,idayagonali,noun,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_601,diagram,diagram,umdwebo,umzobo,umdvwebo,umfanekiso,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_602,diagrammatic,diagrammaties,ngokomdwebo,ngomzobo,ngekwedayagramu / ngekwemdvwebo,-samfanekiso,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_603,dial,wyserplaat,ubuso bewashi / isibonisonkathi / isibonisosisindo / isibonisozinga,ubuso,inkhomba,ubuso bewatjhi,noun,radio,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_604,dial,bel,ukushaya ucingo,ukucofa,shaya lucingo,betha / dayela,verb,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_605,diameter,diameter,inkabamudwa,isinqumla-sangqa / idayamitha,inkhabamudvwa,idayamitha,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_606,diamond,diamant,idayimane,ilitye elinqabileyo / idayimani,idayimane,idayimani,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_607,diarrhoea / diarrhea,diarree,isihudo / uhudo / usheko,urhudo / ukuhambisa,insheko,irhudo,US,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_608,dicotyledon,dikotiele plant / tweesaadlobbige plant,ungcezumbilisitshalo,emaceba mabini / isityalo esimagqabi-mabini embeu,ncetumbili,idayikhothiledoni,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_609,die-casting,matrysgieting / vormgieting,ukubumba insimbi / ukufoloma insimbi,ukutywina,kubumba insimbi,ibhagosimbi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_610,diesel,diesel,udizili,idizili,idizili,idizela,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_611,diet,dieet,uhlelo lokudla / indlela yokudla,ukutya,luhlobo lwekudla,idayethi / umudlokhetho,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_612,dig,grawe,-imba / -gubha,ukumba / ukugrumba,gubha / -mba,-emba,verb,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_613,digest,verteer,-gaya / -etshisa,ukwetyisa,gaya,-gaya,verb,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_614,digestion,spysvertering,ukwetshisa / ukugayeka kokudla,ukwetyisa,kugaya,ukugaya,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_615,digestive system,spysverteringstelsel,umgudu wokudla,umetyiso,umgudvu wekugaya,irherho lokugaya,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_616,dilute,verdun,-hlambulula,ukungxenga / ukuqunga,ntempula,qarha,,,,,,,,,,,,
