id,eng,afr,tsn,nso,sot,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info
dsac_natural_sciences_and_technology_dictionary_sotho_2482,tidal power station,getykragstasie,seteišene sa maatlakhubu,seteišene sa go diriša maatla a maphoto,seteishene sa maqhubu a lewatle,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2483,tide,gety,lekhubu,lephoto,leqhubu,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2484,tiger,tier,lengau,nkwe,nkwe,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2485,tighten,aandraai / vasdraai,kurufelela / gagamatsa / tintelela,bofa / tiiša / kurufela,tiisa,verb,e.g. screws,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2486,tile,teël,thaele,thaele / thaelese,thaele,noun,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2487,tilt,kantel,sekamisa / thulamisa,kekema / tshekamediša,sekamisa,verb,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2488,timber,timmerhout,legong / kota,kota / lepolanka,patsi / lehong,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2489,time limit,tydsbeperking,sebaka / nako tekanyetso,nakotekanyo,tekanyetso ya nako,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2490,time switch,tydskakelaar,selepanako,thaemara,selaolanako,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2491,timing circuit,tydreëlkring,seketetepanako,thaemarakelelamohlagase,sekete ya taolo,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2492,tin,tin,thini,tšhipi,thini,noun,metallic element,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2493,tin,blik,moteme,thine / tšhitswana,lekotikoti,noun,container for food,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2494,tinsnips,blikskêr,sekere sa senke,sekero sa tšhipi,sekere sa masenke,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2495,tip,top / punt,ntlhana,ntlha,ntlha,noun,,,,,,,,,
