id,eng,afr,zul,xho,ssw,nbl,tsn,nso,sot,ven,tso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info
dsac_multilingual_mathematics_dictionary_r_to_6_336,examine,toets,ukuvivinya / ukuhlolwa,vavanya / hlola / phonononga,hlola,hlahluba,leka,hlahloba,hlahloba,linga,kambela / hlahluva,,to test e.g. knowledge,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_337,example,voorbeeld,isibonelo,umzekelo,sibonelo,isibonelo,sekao,mohlala,mohlala,tsumbo,xifaniso,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_338,exceed,oorskry,eqile / ngokweqile,ngaphezu kwa,dlulele / engca / edlula,dlulisa / eqisa,feta,feta / fetiša,feta,u fhira / u pfuka / -fhirisa,ku tlula / hundza,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_339,exchange,uitwissel,ukushintshana / ukushintshiselana,utshintshiselwano / ulwananiso,ntjintjanisa,rweyila,anaanya,neelana / fetiša,phaphanyetsano,rengiselana,cincana,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_340,exchange rate,wisselkoers,ushintshomali lwamazwe,umyinge wotshintshiselwano / umyinge wonaniselwano / ireyithi yonaniselwano,luntjintjanisomali / lucatsanisomali / lucatsanisosisindvomali,ubungako bokurweyila,kelokananyo,kelo ya neelanotšhelete,sekgahla sa phapanyetsano,reithi ya u mutshintshana / tshikalo tsha u tshintshana / phimo ya thengiselano,mpimo wo cincana,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_341,exercise,oefening,isivivinyo,umsebenzi,umsebenti,umsebenzi,thutiso,thutišo / modirwana,hlakiso,nḓowe-nḓowe / nḓowedzo,xitoloveto,noun,task,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_342,expand,ontwikkel,andisa / khulisa,ukwandisa / ukongeza,khulisa / nweba / andzisa,nabisa / naba,atolosa,katološa / oketša,sarolla,tatamudza / hudza / ṱanḓavhudza,ndlandlamuxa / anamisa,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_343,expanded notation,uitgebreide notasie,ukwandisa ngokucozulula,ucazululo lwamanani ngokobhalo,indlelakubhala lekhulisako / lubhalokwenaba,inotheyitjhini enabileko,mokwalokatoloso,mongwalopalokatološo,mokgwa wa tsharollo,nothesheni yo tatamudzwaho / muṅwalo wo ṱanḓavhudzwaho,nxanxameto-ndlandlamuko,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_344,expansion,ontwikkeling,ukwandisa,ulwandiso,kukhulisa / kunaba / kwendlala,ukunaba,katoloso,katološo,tsharollo,thathamudzo / ṱharamudzo / ṱhanḓavhudzo,ndlandlamuxo,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_345,explain,verduidelik,chaza,chaza,chaza / cacisa,hlathulula / chaza,tlhalosa,hlaloša / hlalosa,hlalosa,ṱalutshedza,hlamusela,,,,,,,,,,,,,,,,,,,,,,
