id,eng,afr,ven,tso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info
dsac_natural_sciences_and_technology_for_grade_4_to_6_427,column graph,kolomgrafiek,girafu ya khoḽomu,girafu ya kholomo,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_428,combustion,verbranding,phiso,mpfurho,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_429,commercial,kommersieel,vhuvhambadzi,swa mabindzu,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_430,common weed,onkruid,tsheṋe,nhlakulo / nhova,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_431,communication,kommunikasie,vhudavhidzani,mbulavurisano / vuhlanganisi,,technology - electronics,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_432,compass,kompas,khamphasi / tsumbasia,khompasi / xikomba-timheho,noun,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_433,component,komponent,tshivhumbi / khomphonenthe,xiphemu,,electronics,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_434,compose,saamstel,-vhumba / -sika,vumba,verb,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_435,composite,samestelling,tshivhumbwa nga zwinzhi,xivumbiwa,noun,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_436,composition,samestelling,mbumbo,xivumbeko,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_437,compost,kompos,pfudzethukhwi,khomposi / muquvela,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_438,compound,mengsel,tshisikwa,nkatsano,noun,combination of parts,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_439,compound bar,saamgestelde staaf,baa ya khomphaundu,bara ya nkatsano,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_440,compress,saampers,-kwanyeledza / -pwanyeledza,kamanyeta / manyanisa / tlimbanisa,verb,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_441,compressed air,saamgeperste lug,muya wo pwanyeledzwaho,moya wo tlimbanisiwa / moya wo manyanisiwa,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_442,compressive force / compression force,drukkrag / kompressiekrag,maanḓa a u pwanyeledza,matimba yo tlimbana,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_443,compressor,kompressor,khomphuresa,xitlimbanisi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_444,computer,rekenaar,khomphyutha,khompyuta / khompyutara,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_445,concentrated,gekonsentreer,tsho dziaho,xa matimba,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_446,concrete,beton,khonkhrithi,khonkhirete / khonkhele / khonkhiriti,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_447,concrete brick,betonbaksteen,tshidina tsha khonkhrithi,xitina xa khonkhirete,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_448,condensate,kondensaat,tshiluḓifhadzwa,xitiyi xa swihalaki,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_449,condensation,kondensasie,muluḓelo / khondentsesheni,mahundzukelo,,,,,,,,moya ku ya eka swihalaki
dsac_natural_sciences_and_technology_for_grade_4_to_6_450,condense,kondenseer / vloeibaar maak,-luḓifhadza / -ita tshiluḓi,hundzula,verb,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_451,condenser,kondenseerder,tshiluḓifhadzi / khondentsa,xihundzuri,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_452,conduct,gelei,-rathisa,fambisa,verb,,,,,,,
