id,eng,afr,zul,xho,ssw,nbl,tsn,nso,sot,ven,tso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info
dsac_life_orientation_terminology_term_list_37,amuse,vermaak / amuseer,ukukitaza,hlekisa / -onwabisa / yolisa,hlekisa / chaza / kilakita,-hlekisa / -kara,tshegisa,-segiša,-qabola / -tshehisa,seisa / ṅwethudza,hlekisa / n'wayiterisa,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_38,ancient,antiek,okwasemandulo,-mandulo / -kudala,-kwasendvulo / -kwakadzeni,-kadeni / -mandulo,-gologolo / -kgale / -maloba,-bogologolo / -kgale,maswetso / -holoholo,-kalekale / -kaleni,-khale,adjective,e.g. civilisation,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_39,anger,woede / gramskap,intukuthelo,umsindo / ukucaphuka,intfukutselo / kutfukutsela / kukwata,itukuthelo,tenego,pefelo,kgalefo,tsinyuwo,nhlundzuko,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_40,anthropologist,antropoloog,umcwaningi ngomlandobantu namasiko,ingcali yeanthropholoji,umfundzibantfu nemasiko,umfundimasikobantu / i-anthropholojisti,moithutalotsontho / moantropoloji,moithutaditšhaba / moantheropholotši,antropholojiste,muguda vhathu na mvelele / muatropholodzhi,n’wamidavuko,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_41,antihistamine,antihistamien,isidambisihistamini / isinqandihistamini,iantihistamini / igwada lesaliso,i-antihistamayini,i-anthihistamayini,antihistamaene,anthihistamaene,anthihistamine,anthihistamaini,antihisitamayini,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_42,anxious,angstig / bang,okunexhala,-xhalabileyo,-shisekako / -khatsatekile,-tjhisekako / -hlalele evalweni,phisega / šwegašwega,-belaelago,-tshwenyeha / -kgathatsehile,-swela mbilu / -fhisea,-tshamiseki / -vilela / -langutela ngopfu / -hiseka,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_43,apartheid,apartheid,ingcindezelo / ubandlululo,ucalu-calulo ngokobuhlanga,lubandlululo / i-apartheid,ibandlululo / i-apartheid,kgethololo / tlhaolele,pušokgethollo,aparteite / puso ya kgethollo,khethululo,xihlawuhlawu,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_44,apologise,verskoning vra / verskoning maak,ukuxolisa,xolisa / ngxengxeza,colisa,-colisa / -rabhela / -ncancabeza,kopatshwarelo,-kgopela tshwarelo,-kopa tshwarelo,humbela pfarelo / u ḓisola,ku tisola / ku kombela ndzivalelo,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_45,appearance,voorkoms,imbukeko,inkangeleko / imbonakalo,kubukeka,ukuqaleka,tebego,tebelelego / lebopo,tjhebahalo,mbonalo,xivumbeko / mayimekelo / xiyimeko,,seem,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_46,appearance,verskyning,ukuvela,ukuvela / ukubonakala,kuchamuka / kuvela,ukuvela / ukubonakala,tlhagelelo,boiponagatšo / ba gona,boiponahatso,u bvelela / u ḓivhonadza,vukona,,be present,,,,,,,,,,,,,,,,,,,,
