id,eng,nso,afr,eng_pos_or_descriptor,eng_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info
up_glossary_institutional_terminology_139,elementary achievement,bokgoni bja mathomo,elementu00eare prestasie,,,,,,
up_glossary_institutional_terminology_140,Endorsement,Tumelelo,endossement,,,,,,
up_glossary_institutional_terminology_141,enrol; enrolment; but enrolled; enroller; enrolling,ngwadia; ngwadiso; eupu00e3a: ngwadisitse; mongwadisi; go ngwadia,inskryf,,,,,,
up_glossary_institutional_terminology_142,Enrolment Management Unit,Lekala la Taolo ya Ngwadio,Eenheid vir Inskrywingsbestuur,,,,,,
up_glossary_institutional_terminology_143,entrance requirements,Dinyakwa tsa go tsena,toelatingsvereistes,,,,,,
up_glossary_institutional_terminology_144,Ethics Committee,Komiti ya Maitshwaro,Etiekkomitee,,,,,,
up_glossary_institutional_terminology_145,evaluation certificate,setifikeiti sa tekolo,evaluasiesertifikaat,,,,,,
up_glossary_institutional_terminology_146,examination answer script,matlakala a dikarabo a ditlhahlobo,eksamenantwoordstel,,,,,,
up_glossary_institutional_terminology_147,examination commission,khomiene ya ditlhahlobo,eksamenkommissie,,,,,,
up_glossary_institutional_terminology_148,examination copy,kopi ya ditlhahlobo,eksamineringseksemplaar,,,,,,
up_glossary_institutional_terminology_149,examiner - examiners,mohlahlobi - bahlahlobi,eksaminator- eksaminatore/eksaminators,sing / pl,,botee / bontshi,,ekv / mv,
up_glossary_institutional_terminology_150,exceptional achievement,bokgoni bja go ikgetha,uitsonderlike prestasie,,,,,,
up_glossary_institutional_terminology_151,Executive Committee,Komitiphethisi,Uitvoerende Komitee,,,,,,
up_glossary_institutional_terminology_152,Executive Quality Oversight Committee,Komiti ya Taolo ya Bolengphethisi,Uitvoerende Komitee vin Kwaliteitstoesig,,,,,,
up_glossary_institutional_terminology_153,Exceptional Academic Achievers Award,Sefoka sa Basomedi ba Thuto bao ba Atlegilego Kudu,Toekenning vir Uitnemende Akademiese Presteerders,,,,,,
up_glossary_institutional_terminology_154,Exemption,tokollo,vrystelling,,,,,,
up_glossary_institutional_terminology_155,Exemption Certificate,Setifikeiti sa Tokollo,Vrystellingsertifikaat,,,,,,
up_glossary_institutional_terminology_156,extraordinary examination,tlhahlobo ya go ikgetha,buitengewone eksamen,,,,,,
up_glossary_institutional_terminology_157,extraordinary professor,profesa ya go ikgetha,buitengewone professor,professor extraordinaire,,professor extraordinaire,,professor extraordinaire,
up_glossary_institutional_terminology_158,Faculty Administration,Taolo ya Lefapha,Fakulteitsadministrasie,,,,,,
up_glossary_institutional_terminology_159,Faculty Boards,Diboto tsa Lefapha,Fakulteitsrade,,,,,,
