id,eng,afr,nso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info
up_glossary_hatfield_campus_81,Tourism House,Toerismehuis,,Hatfield,Tourism Management,Hatfield,Toerismebestuur,,Taolo ya Boeti
up_glossary_hatfield_campus_82,Tukkiewerf,Tukkiewerf,,Hatfield,Student Development,Hatfield,Studenteontwikkeling,,"Tweletsopele/Kaonafatso/Tlh
abollo ya Baithuti"
up_glossary_hatfield_campus_83,Tuks Village houses and laundry,Tuks Village-huise en wassery,,Hatfield,Tuks Village,Hatfield,Tuksdorp,,Motse wa Tuks
up_glossary_hatfield_campus_84,TuksSport Village,TuksSport Village,,Hatfield,Rental houses (Facilities and Services),Hatfield,Huurhuise (Fasiliteite en Dienste),,"Dintlo tsa go Rentiwa
(Dinolofati le Ditirelo)"
up_glossary_hatfield_campus_85,Van der Graaf Accelerator,Van der Graaf- versneller,,Hatfield,Physics,Hatfield,Fisika,,Fisika
up_glossary_hatfield_campus_86,Vergeet-My- Nie bicycle shed,Vergeet-My-Nie- fietsloods,,Hatfield,Security Services,Hatfield,Veiligheidsdienste,,Ditirelo tsa Tshireletso
up_glossary_hatfield_campus_87,Vetman,Vetman,,Hatfield,Plant Science,Hatfield,Plantkunde,,Saense ya Dimela
up_glossary_hatfield_campus_88,Visual Arts,Visuele Kunste,,Hatfield,Security Services Visual Arts,Hatfield,Veiligheidsdienste Visuele Kunste,,"Ditirelo tsa Tshireletso
Bokgabo bja Pono"
up_glossary_hatfield_campus_89,Vygie,Vygie,,Hatfield,Student Affairs,Hatfield,Studentesake,,Merero ya Baithuti
up_glossary_hatfield_campus_90,Zoology,Dierkunde,,Hatfield,Mammal Research Institute (MRI) Zoology and Entomology,Hatfield,Soogdiernavorsingsinstituut (SNI) Dierkunde en Entomologie,,"Institute ya Dinyakisito tsa
Diamusi
Thutadiphoofolo le Entomoloti"
