id,eng,nso,afr,eng_pos_or_descriptor,eng_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info
up_glossary_general_terminology_21,business school,sekolo sa kgwebo,sakeskool,,,,,,
up_glossary_general_terminology_22,cancer screening research,dinyakisiso/diphatisiso tsa go lekola kankere,kankersiftingsnavorsing,,,,,,
up_glossary_general_terminology_23,Cape Peninsula University of Technology,Yunibesithi ya Theknoloti ya Cape Peninsula,Kaapse Skiereiland Universiteit van Tegnologie,,,,,,
up_glossary_general_terminology_24,carbon technologies,ditheknoti tsa khapone,koolstoftegnologieë,,,,,,
up_glossary_general_terminology_25,CCMA,CCMA,KVBA,"Commission for Conciliation, Mediation and Arbitration",,"Khomisene ya Kagiso, Poelano le Kahlolo",,"Kommissie vir Versoening, Bemiddeling en Arbitrasie",
up_glossary_general_terminology_26,cellphone,selefouno,selfoon,,,,,,
up_glossary_general_terminology_27,Central University of Technology,Yunibesithi ya Theknoloti ya Central,Sentrale Universiteit van Tegnologie,,,,,,
up_glossary_general_terminology_28,centre,gare,sentrum,not center,US,,,,
up_glossary_general_terminology_29,change management,taolo ya phetoo,veranderingsbestuur,,,,,,
up_glossary_general_terminology_30,checklist,lenaneotekolo,kontrolelys,,,,,,
up_glossary_general_terminology_31,civil society,setshaba sa segae,burgerlike samelewing,,,,,,
up_glossary_general_terminology_32,clinical associates,badirisani ba kalafo,kliniese medewerkers,,,,,,
up_glossary_general_terminology_33,clinical reasoning,go fa mabaka a kalafo,kliniese beredenering,,,,,,
up_glossary_general_terminology_34,closing event,go tswalela moletlo,afsluitingsnommen,programme,,lenaneo,,program,
up_glossary_general_terminology_35,cocktail function,moletlo wa khokhtheile,skemerkelk,,,,,onthaal,
up_glossary_general_terminology_36,colloquium,kholokhiamo,"kollokwium, gespreksforum",,,,,,
up_glossary_general_terminology_37,collusion,tumelelano,samespanning,,,,,,
up_glossary_general_terminology_38,"Commission for Conciliation, Mediation and Arbitration","Khomiene ya Kagiso, Poelano le Therisano","Kommissie vir Konsiliasie, Mediasie en Arbitrasie",CCMA,,CCMA,,CCMA,
up_glossary_general_terminology_39,communicator,mokgokaganyi,kommunikeerden,,,,,,
up_glossary_general_terminology_40,community engagement,go tsea karolo setshabeng,gemeenskapsbetrokkenheid,,,,,,
up_glossary_general_terminology_41,Community Project Module,Thutwana ya Protseke ya Setshaba,Gemeenskapsprojekmodule,,,,,,
up_glossary_general_terminology_42,comprehensive university,yunibesithi ye kgolo,komprehensiewe universiteit,,,,,,
up_glossary_general_terminology_43,computer printout,kgatiso ya khomphutha,rekenaaruitdruk,,,,,,
up_glossary_general_terminology_44,concrete technology,theknoloti ya nnete,betontegnologie,,,,,,
up_glossary_general_terminology_45,Congress of South African Trade Unions,Congress of South African Trade Unions,Congress of South African Trade Unions,COSATU,,COSATU,,COSATU,
up_glossary_general_terminology_46,Constitution,Molaotheo,Grondwet,of South Africa,,wa Afrika Borwa,,van Suid-Afrika,
up_glossary_general_terminology_47,Constitutional Court,Kgorotsheko ya Molaotheo,Konstitusionele Hof,,,,,artikel 167 van die Grondwet,
up_glossary_general_terminology_48,Convocation,Mohlakano,Konvokasie,,,,,,
up_glossary_general_terminology_49,cooperation,tlemagano/tshomisano/tirsano,samewerking,,,,,,
up_glossary_general_terminology_50,coordination,kopanyo/kopano/tomaganyo/kgohlaganyo,koördinasie,,,,,,
up_glossary_general_terminology_51,cost centre,senthara ya theko,kostepunt,,,,,,
up_glossary_general_terminology_52,Council,Khansele/Lekgotla,die Raad,not 'the' Council,,,,,
up_glossary_general_terminology_53,Council of the National Zoological Gardens,Khansele ya Dirapa tsa Diphoofolo tsa Setshaba,Raad van die Nasionale Dieretuin,,,,,,
up_glossary_general_terminology_54,Council on Higher Education,Khansele ya Thuto ya Godimo/Lekgotla la Thuto ya Godimo,Raad op Hoër Onderwys,CHE,,,,,
up_glossary_general_terminology_55,currently,ga bjale,tans,,,,,nie: huidiglik,
up_glossary_general_terminology_56,database,datapeisi/lenaneo la difiwa,databasis,,,,,,
up_glossary_general_terminology_57,Dean of Students,Hlogo ya Lefapha ya Baithuti,Studentedekaan,now known as Director: Student Affairs,,gonabjale e bitswa Molaodimogolo: Merero ya Baithuti,,nou bekend as Direkteur: Studentesake,
up_glossary_general_terminology_58,decision-maker,motseadiphetho,besluitnemer,,,,,,
up_glossary_general_terminology_59,decision-making,go tsea sepehetho,besluitneming,,,,,,
up_glossary_general_terminology_60,Declaration Ceremony,Tirelo ya Pego,Verklaringseremonie,,,,,,
up_glossary_general_terminology_61,Department of Science and Technology - government,Kgoro ya Saense le Theknoloti - immuso,Departement van Wetenskap en Tegnologie - regering,DST,,,,DWT,
up_glossary_general_terminology_62,Deputy Dean,Motlatsahlogo ya Lefapha,Adjunkdekaan,,,,,,
up_glossary_general_terminology_63,dinner launch,thakgolo ya dilalelo,dinee-bekendstelling,,,,,bv van 'n boek,
up_glossary_general_terminology_64,Director: Student Affairs,Molaodimogolo: Merero ya Baithuti,Direkteur: Studentesake,previously known as Dean of Students,,pele o be a bitswa Hlogo ya Lefapha ya Baithuti,,voorheen bekend as Studentedekaan,
up_glossary_general_terminology_65,Disciplinary Code,Molao wa Kgalemo/Thupiso,Tugbepalings,,,,,,
up_glossary_general_terminology_66,double blind review,tshekatsheko yeo mongwadi a ka se tsebego mosekaseki le mosekaseki a ka se tsebego mongwadi,dubbelblinde oorsig,,,,,,
up_glossary_general_terminology_67,Durban Institute of Technology,Institute ya Theknoloti ya Durban,Durban Instituut van Tegnologie,,,,,,
up_glossary_general_terminology_68,ecology,ekoloti,ekologie,,,,,,
up_glossary_general_terminology_69,e-commerce,kgwebo ya elektroniki,e-handel,,,,,,
up_glossary_general_terminology_70,email,emeile,e-pos,no hyphen,,,,,
up_glossary_general_terminology_71,email address,atrese ya emeile,e-posadres,,,,,,
