id,eng,afr,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info
cput_termbank_data_305,Overvalued idea,Oorwaardeerde idee,,,,
cput_termbank_data_306,Paranoia,Paranoia,,,,
cput_termbank_data_307,Perception,Persepsie,,,,
cput_termbank_data_308,Perseveration,Perseverasie,,,,
cput_termbank_data_309,Phobia,Fobie,,,,
cput_termbank_data_310,Poverty of speech,Spraakarmoede,,,,
cput_termbank_data_311,Poverty of thought content,Gedagte-armoede,,,,
cput_termbank_data_312,Somatoform disorder,Somatoforme steuring,,,,
cput_termbank_data_313,Tic,Tic,,,,
cput_termbank_data_314,Abstract,Opsomming,,,,
cput_termbank_data_315,Abstract and Citation database,Opsomming en verwysingsdatabasis,,,,
cput_termbank_data_316,Access date,Toegangsdatum,,,,
cput_termbank_data_317,Access provider,Toegangverskaffer,,,,
cput_termbank_data_318,Acquisitions,Aanwinste,,,,
cput_termbank_data_319,Acronym,Akroniem,,,,
cput_termbank_data_320,Accredited journal,Geakkrediteerde tydskrif,,,,
cput_termbank_data_321,Advanced search,Gevorderde soektog,,,,
cput_termbank_data_322,Altmetrics,Altmetrie,,,,
cput_termbank_data_323,Ampersand,Ampersand,,,,
cput_termbank_data_324,Annotation,Annotasie,,,,
cput_termbank_data_325,Article,Artikel,,,,
cput_termbank_data_326,Africana,Africana,,,,
cput_termbank_data_327,After-Hours,Na-uurs,,,,
cput_termbank_data_328,Ask us,Vra ons,,,,
cput_termbank_data_329,Author,Outeur,,,,
cput_termbank_data_330,Author collection,Outeurversameling,,,,
cput_termbank_data_331,Available Online,Aanlyn Beskikbaar,,,,
cput_termbank_data_332,Audio-visual material,Oudiovisuele materiaal,,,,
cput_termbank_data_333,Authentication,Verifikasie,,,,
cput_termbank_data_334,Back page book,Agterblad boek,,,,
cput_termbank_data_335,Back file,Agterlêer,,,,
cput_termbank_data_336,Basic search,Basiese soektog,,,,
cput_termbank_data_337,Bibliography,Bibliografie,,,,
cput_termbank_data_338,Bibliometrics,Bibliometrie,,,,
cput_termbank_data_339,Book chapter,Boek hoofstuk,,,,
cput_termbank_data_340,Boolean,Booleaans,,,,
cput_termbank_data_341,Borrowing,Lening,,,,
cput_termbank_data_342,Bound journal,Gebonde tydskrif,,,,
cput_termbank_data_343,Brief record,Kortrekord,,,,
cput_termbank_data_344,Browse search,Blaaisoektog,,,,
cput_termbank_data_345,Browser,Blaaier,,,,
cput_termbank_data_346,Catalogue,Katalogus,,,,
cput_termbank_data_347,Cashless payment Zapper,Kontantlose betaling Zapper,,,,
cput_termbank_data_348,Categories,Kategorieë (,,,,
cput_termbank_data_349,CHELiN Westen Cape,CHELiN WesKaap,,,,
cput_termbank_data_350,CHELiN Agreement,CHELiNooreenkoms,,,,
cput_termbank_data_351,CHELSA National,CHELSA Nasionaal,,,,
cput_termbank_data_352,CHELSA Agreement,CHELSAooreenkoms,,,,
cput_termbank_data_353,Circulation Desk,Sirkulasietoonbank,,,,
cput_termbank_data_354,Citation,Aanhaling,,,,
cput_termbank_data_355,Citation database,Verwysingsdatabasis,,,,
cput_termbank_data_356,Classification,Klassifikasie,,,,
cput_termbank_data_357,Collection,Versameling,,,,
cput_termbank_data_358,Community in Institutional Repository,Gemeenskap in die Institusionele Repositorium,,,,
cput_termbank_data_359,Conclusion,Samevatting,,,,
cput_termbank_data_360,Concurrent users,Gelyktydige gebruikers,,,,
cput_termbank_data_361,Conference paper,Konferensieartikel,,,,
cput_termbank_data_362,Conference proceedings,Konferensieverrigtinge,,,,
cput_termbank_data_363,Contents page,Inhoud,,,,
cput_termbank_data_364,Copyright,Kopiereg,,,,
cput_termbank_data_365,Course Reserves,Kursusreserwes,,,,
cput_termbank_data_366,Copyright clearance,Kopieregklaring,,,,
cput_termbank_data_367,CRAAP,CRAAP,,,,
cput_termbank_data_368,Creative Commons license,Creative Commons lisensie,,,,
cput_termbank_data_369,Creation date,Creation date,,,,
cput_termbank_data_370,Database,Databasis,,,,
cput_termbank_data_371,Database search,Database search,,,,
cput_termbank_data_372,Data Curation,Data-kurasie,,,,
cput_termbank_data_373,Date of publication,Datum van publikasie,,,,
cput_termbank_data_374,Data Management Plan,Databestuursplan DMP Plan,,,,
cput_termbank_data_375,Data Management Planning tool,Databestuursbeplanningsinstrument,,,,
cput_termbank_data_376,Dataset,Datastel,,,,
cput_termbank_data_377,Detailed record,Gedetailleerde rekord,,,,
cput_termbank_data_378,Dewey Decimal Classification,Dewey Desimale Klassifikasie,,,,
cput_termbank_data_379,Dictionary,Woordeboek,,,,
cput_termbank_data_380,Digital collections,Digitale versamelings,,,,
cput_termbank_data_381,Digital resources,Digitale hulpbronne,,,,
cput_termbank_data_382,Discovery Search Tool,Ontdekkingsoekinstrument,,,,
cput_termbank_data_383,Dissertation,Dissertasie,,,,
cput_termbank_data_384,Digital object identifier,Digitale objekidentifiseerder DOI,,,,
cput_termbank_data_385,Disability compliance,Ongeskiktheidsvoldoening,,,,
cput_termbank_data_386,Download,Aflaai,,,,
cput_termbank_data_387,Downloads,Afgelaaide items elektronies,electronic,,,
cput_termbank_data_388,ebook,eboek,,,,
cput_termbank_data_389,E-ISBN,E-ISBN,,,,
cput_termbank_data_390,e-mail,e-pos,,,,
cput_termbank_data_391,e-journal,etydskrif,,,,
cput_termbank_data_392,E-resources,Ehulpbronne,,,,
cput_termbank_data_393,e-resource license,ehulpbronlisensie,,,,
